location	latitude	longitude	bearing
cambridge_boat_house	52.39926830500767	0.2889072636444044	78.38568582325313
potter_space_bridge	52.40341578274437	0.2970466805561282	25.04764645286433
prickwillow_bridge	52.408800175700186	0.2999584618973608	18.86160442979624
ely_start_marker	52.41002639040147	0.3006015265781387	15.780618438277182
ely_0.25km_marker	52.412179123173715	0.30166471450345395	16.76511607982235
ely_0.5km_marker	52.41433184640904	0.3027280062221223	16.76511607982235
ely_0.75km_marker	52.416484560105765	0.30379140175188607	16.76511607982235
ely_1.0km_marker	52.418637264262244	0.3048549011104916	16.76511607982235
ely_1.25km_marker	52.420789958876775	0.305918504315689	16.76511607982235
ely_1.5km_marker	52.42294264394769	0.306982211385232	16.76511607982235
ely_1.75km_marker	52.425095319473314	0.3080460223368784	16.76511607982235
ely_2km_marker	52.42724798545199	0.3091099371883878	14.511991075096509
lark	52.435788537153485	0.312342461265829	14.511991075096509
littleport_bridge	52.453308797160254	0.3186249919198184	5.515135708479358
ely_6k_marker	52.470671003762256	0.3267461330890098	26.0
A10_bridge	52.465035882657794	0.3216891291034099	33.25978485728356
ely_7k_marker	52.47045	0.3264921	35.
powerlines	52.47508714693901	0.332704155718839	39.790750041838265
brandon_creek	52.501195908745856	0.3664763817081899	142.96591908576636
